nom,prix,ancien_prix,remise_pct,url,image_url,site,categorie,date_scraping,en_promotion,gamme_prix,product_id
KILBERGET,2699.0,,0.0,https://www.ikea.com/ma/fr/p/kilberget-commode-6-tiroirs-blanc-20609916/,https://www.ikea.com/ma/fr/images/products/kilberget-commode-6-tiroirs-blanc__1283566_pe932527_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:09,False,Milieu (1500-4000),ikea_271
NÄSFJÄLLET,699.0,,0.0,https://www.ikea.com/ma/fr/p/naesfjaellet-surmatelas-blanc-90558046/,https://www.ikea.com/ma/fr/images/products/naesfjaellet-surmatelas-blanc__1257455_pe925832_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:04,False,Économique (500-1500),ikea_275
KRONÖREN,999.0,,0.0,https://www.ikea.com/ma/fr/p/kronoeren-armoire-ouverte-pin-40610805/,https://www.ikea.com/ma/fr/images/products/kronoeren-armoire-ouverte-pin__1486666_pe1002500_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:09,False,Économique (500-1500),ikea_281
OMAR,3180.0,,0.0,https://www.ikea.com/ma/fr/p/omar-etagere-avec-tringle-acier-zingue-s59487688/,https://www.ikea.com/ma/fr/images/products/omar-etagere-avec-tringle-acier-zingue__1137679_pe879663_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:09,False,Milieu (1500-4000),ikea_290
GLADOM,249.0,,0.0,https://www.ikea.com/ma/fr/p/gladom-table-plateau-noir-50411990/,https://www.ikea.com/ma/fr/images/products/gladom-table-plateau-noir__0567223_pe664991_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:07,False,Entrée (<500),ikea_296
VESTERÖY,3995.0,,0.0,https://www.ikea.com/ma/fr/p/vesteroey-matelas-a-ressorts-ensaches-ferme-bleu-clair-40450618/,https://www.ikea.com/ma/fr/images/products/vesteroey-matelas-a-ressorts-ensaches-ferme-bleu-clair__1150852_pe884907_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:04,False,Milieu (1500-4000),ikea_300
BLÄSTÅSEN,849.0,,0.0,https://www.ikea.com/ma/fr/p/blaestasen-table-de-chevet-blanc-00595067/,https://www.ikea.com/ma/fr/images/products/blaestasen-table-de-chevet-blanc__1450962_pe990525_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:07,False,Économique (500-1500),ikea_305
SUNDVIK,3799.0,,0.0,https://www.ikea.com/ma/fr/p/sundvik-armoire-gris-50494264/,https://www.ikea.com/ma/fr/images/products/sundvik-armoire-gris__0977367_pe813556_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:11,False,Milieu (1500-4000),ikea_306
TÄRNKULLEN,3695.0,,0.0,https://www.ikea.com/ma/fr/p/taernkullen-cadre-de-lit-matelasse-vissle-beige-luroey-s79564360/,https://www.ikea.com/ma/fr/images/products/taernkullen-cadre-de-lit-matelasse-vissle-beige-luroey__1323523_pe942742_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:56,False,Milieu (1500-4000),ikea_312
PAX / BERGSBO,6080.0,,0.0,https://www.ikea.com/ma/fr/p/pax-bergsbo-combinaison-armoire-s39568204/,https://www.ikea.com/ma/fr/images/products/pax-bergsbo-combinaison-armoire__1162328_pe889763_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:13,False,Premium (4000-10k),ikea_323
